trial	block	mode	shape1	shape2	color1	color2	shift	stim_type	feat1	feat2
1	1	motion-shape	0	0	blue	blue	1.4	3	1	1.4
2	1	motion-shape	1	0	red	blue	-1.4	9	1	1.4
3	1	motion-shape	0	1	blue	blue	-1.4	3	1	1.4
4	1	motion-shape	0	1	red	blue	1.4	3	1	1.4
5	1	motion-shape	1	0	red	red	1.4	9	1	1.4
6	1	motion-shape	0	1	blue	red	-1.4	9	1	1.4
7	1	motion-shape	1	0	blue	blue	-1.4	3	1	1.4
8	1	motion-shape	1	1	red	blue	1.4	3	1	1.4
9	1	motion-shape	1	0	blue	blue	-1.4	3	1	1.4
10	1	motion-shape	1	1	red	blue	-1.4	3	1	1.4
11	1	motion-shape	0	0	red	red	1.4	3	1	1.4
12	1	motion-shape	1	0	red	red	1.4	9	1	1.4
13	1	motion-shape	1	1	blue	red	-1.4	3	1	1.4
14	1	motion-shape	0	1	blue	blue	1.4	9	1	1.4
15	1	motion-shape	1	0	red	red	1.4	3	1	1.4
16	1	motion-shape	0	0	red	blue	1.4	9	1	1.4
17	1	motion-shape	0	0	blue	red	-1.4	3	1	1.4
18	1	motion-shape	1	0	blue	red	-1.4	3	1	1.4
19	1	motion-shape	1	1	red	red	-1.4	9	1	1.4
20	1	motion-shape	0	0	red	blue	1.4	3	1	1.4
21	1	motion-shape	1	1	red	blue	1.4	3	1	1.4
22	1	motion-shape	0	1	blue	blue	-1.4	3	1	1.4
23	1	motion-shape	0	1	blue	blue	-1.4	3	1	1.4
24	1	motion-shape	0	1	red	blue	1.4	9	1	1.4
25	1	motion-shape	0	1	red	blue	1.4	3	1	1.4
26	1	motion-shape	1	0	blue	blue	-1.4	3	1	1.4
27	1	motion-shape	0	0	red	red	1.4	3	1	1.4
28	1	motion-shape	0	1	blue	red	-1.4	9	1	1.4
29	1	motion-shape	0	0	red	blue	1.4	3	1	1.4
30	1	motion-shape	1	0	blue	blue	-1.4	9	1	1.4
31	1	motion-shape	0	1	blue	blue	1.4	3	1	1.4
32	1	motion-shape	1	1	blue	red	-1.4	3	1	1.4
33	1	motion-shape	1	0	blue	blue	-1.4	3	1	1.4
